Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
287,The Sims 2: Castaway,Wii,Simulation,Electronic Arts,0.45,0.64,0,0.14,1.23
288,Just Dance 2016,Wii,Misc,Ubisoft,0.52,0.59,0,0.1,1.2
289,Disney Sing It,Wii,Misc,Disney Interactive Studios,0.77,0.31,0,0.12,1.2
290,Battlefield: Hardline,XOne,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.2
291,WWE 2K16,PS4,Sports,Take-Two Interactive,0.41,0.6,0,0.19,1.2
292,PokéPark Wii: Pikachu's Adventure,Wii,Adventure,Nintendo,0.55,0.17,0.42,0.06,1.2
293,Pro Evolution Soccer 2008,Wii,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19
294,FIFA 14,XOne,Sports,Electronic Arts,0.41,0.66,0,0.12,1.19
295,NBA 2K17,PS4,Sports,Take-Two Interactive,0.83,0.14,0,0.22,1.19
296,Spore,PC,Strategy,Electronic Arts,0.03,1.06,0,0.09,1.17
297,Wario Land: Shake It!,Wii,Platform,Nintendo,0.6,0.31,0.15,0.11,1.17
298,Ratchet & Clank (2016),PS4,Platform,Sony Computer Entertainment,0.32,0.64,0.04,0.18,1.17
299,Football Manager 2013,PC,Sports,Sega,0,0.95,0,0.22,1.17
300,Destiny: The Taken King,XOne,Shooter,Activision,0.82,0.23,0,0.11,1.17
301,EA Sports Active: More Workouts,Wii,Sports,Electronic Arts,0.78,0.28,0,0.1,1.16
302,Fallout: New Vegas,PC,Role-Playing,Bethesda Softworks,0.58,0.45,0,0.14,1.16
303,Worldwide Soccer Manager 2009,PC,Simulation,Sega,0,1.14,0,0.01,1.15
304,Sonic and the Black Knight,Wii,Platform,Sega,0.69,0.35,0.01,0.11,1.15
305,Call of Duty 4: Modern Warfare,PC,Shooter,Activision,0,1.12,0,0.03,1.15
306,Rabbids Go Home,Wii,Platform,Ubisoft,0.26,0.75,0,0.14,1.14
307,WWE 2K15,PS4,Sports,Take-Two Interactive,0.38,0.56,0,0.19,1.13
308,Alien: Isolation,PS4,Shooter,Sega,0.34,0.56,0.04,0.19,1.13
309,Worldwide Soccer Manager 2008,PC,Sports,Russel,0,1.12,0,0,1.12
310,Mad Max (2015),PS4,Action,Warner Bros. Interactive Entertainment,0.32,0.58,0.04,0.17,1.11
311,Sunset Overdrive,XOne,Shooter,Microsoft Game Studios,0.62,0.4,0,0.08,1.11
312,Need for Speed: ProStreet,Wii,Racing,Electronic Arts,0.54,0.46,0,0.12,1.11
313,NERF N-Strike,Wii,Shooter,Electronic Arts,0.92,0.09,0,0.09,1.1
314,Empire: Total War,PC,Strategy,Sega,0.01,0.97,0,0.11,1.09
315,Tiger Woods PGA Tour 10,Wii,Sports,Electronic Arts,0.61,0.37,0,0.11,1.09
316,Endless Ocean,Wii,Adventure,Nintendo,0.44,0.47,0.09,0.09,1.09
317,Grand Theft Auto V,PC,Action,Take-Two Interactive,0.36,0.64,0,0.08,1.08
318,The Biggest Loser,Wii,Sports,THQ,0.87,0.12,0,0.09,1.08
319,Resident Evil: The Darkside Chronicles,Wii,Action,Capcom,0.48,0.32,0.2,0.09,1.08
320,FIFA Soccer 11,Wii,Sports,Electronic Arts,0.26,0.69,0,0.12,1.08
321,Championship Manager 99/00,PC,Sports,Eidos Interactive,0,0.98,0,0.09,1.07
322,Disney Universe,Wii,Action,Disney Interactive Studios,0.67,0.3,0,0.1,1.07
323,Sega Superstars Tennis,Wii,Sports,Sega,0.28,0.65,0,0.13,1.06
324,Diablo II: Lord of Destruction,PC,Role-Playing,Vivendi Games,1.03,0.02,0,0,1.06
325,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,Fighting,Namco Bandai Games,0.39,0.41,0.1,0.16,1.06
326,Skylanders: Trap Team,Wii,Action,Activision,0.42,0.54,0,0.08,1.05
327,Dance on Broadway,Wii,Misc,Ubisoft,0.27,0.66,0,0.12,1.05
328,Dragon Ball: XenoVerse,PS4,Fighting,Namco Bandai Games,0.3,0.48,0.12,0.15,1.05
329,MySims Agents,Wii,Adventure,Electronic Arts,0.62,0.32,0,0.1,1.05
330,Guinness World Records: The Videogame,Wii,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0,0.11,1.04
331,Dragon Ball Z: Budokai Tenkaichi 3,Wii,Fighting,Atari,0.33,0.37,0.26,0.09,1.04
332,Project CARS,PS4,Racing,Slightly Mad Studios,0.17,0.69,0.02,0.15,1.04
333,LEGO Marvel Super Heroes,XOne,Action,Warner Bros. Interactive Entertainment,0.61,0.34,0,0.09,1.04
334,EA Sports UFC,PS4,Sports,Electronic Arts,0.46,0.4,0.01,0.17,1.04
335,Tiger Woods PGA Tour 08,Wii,Sports,Electronic Arts,0.94,0.02,0,0.08,1.03
336,Epic Mickey 2: The Power of Two,Wii,Action,Disney Interactive Studios,0.72,0.23,0,0.08,1.03
337,The Simpsons Game,Wii,Action,Electronic Arts,0.45,0.47,0,0.11,1.03
338,Tomb Raider,PC,Action,Eidos Interactive,0.96,0.07,0,0,1.03
339,Rock Band 2,Wii,Misc,MTV Games,0.94,0.01,0,0.08,1.03
340,FIFA Soccer 08,Wii,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02
341,Naruto: Clash of Ninja Revolution,Wii,Fighting,Tomy Corporation,0.45,0.46,0,0.11,1.02
342,Wall-E,Wii,Platform,THQ,0.51,0.4,0,0.11,1.02
343,Championship Manager 3,PC,Sports,Eidos Interactive,0,0.93,0,0.08,1.01
344,Guitar Hero: Warriors of Rock,Wii,Misc,Activision,0.48,0.44,0,0.09,1.01
345,Rayman Legends,PS4,Platform,Ubisoft,0.21,0.61,0,0.18,1.01
346,NERF N-Strike Elite,Wii,Shooter,Electronic Arts,0.93,0,0,0.07,1
347,Wheel of Fortune,Wii,Misc,THQ,0.89,0.04,0,0.06,1
